date,title,name,type,constellation
2015-02-03,Jets from Comet Churyumov-Gerasimenko,Comet Churyumov-Gerasimenko,Comet,NA
2015-02-03,Jets from Comet Churyumov-Gerasimenko,Sun,Star,NA
2015-02-03,Jets from Comet Churyumov-Gerasimenko,Mars,Planet,NA
2015-02-04,"Stars, Sprites, Clouds, Auroras",Stars,Star,NA
2015-02-04,"Stars, Sprites, Clouds, Auroras",Milky Way Galaxy,Galaxy,NA
2015-02-05,M104: The Sombrero Galaxy,Sombrero Galaxy,Galaxy,NA
2015-02-05,M104: The Sombrero Galaxy,NGC 4594,Galaxy,NA
2015-02-05,M104: The Sombrero Galaxy,Virgo Galaxy Cluster,Cluster,NA
2015-02-05,M104: The Sombrero Galaxy,Black Hole,Black Hole,NA
2015-02-06,Jupiter Triple-Moon Conjunction,Jupiter,Planet,NA
2015-02-06,Jupiter Triple-Moon Conjunction,Europa,Moon,NA
2015-02-06,Jupiter Triple-Moon Conjunction,Callisto,Moon,NA
2015-02-06,Jupiter Triple-Moon Conjunction,Io,Moon,NA
2015-02-06,Jupiter Triple-Moon Conjunction,Amalthea,Moon,NA
2015-02-06,Jupiter Triple-Moon Conjunction,Thebe,Moon,NA
2015-02-07,An Aurora of Marbles,Moon,Moon,NA
2015-02-08,Carina Nebula Dust Pillar,Carina Nebula,Nebula,NA
2015-02-08,Carina Nebula Dust Pillar,star,Star,NA
2015-02-09,Layered Rocks near Mount Sharp on Mars,Mars,Planet,NA
2015-02-09,Layered Rocks near Mount Sharp on Mars,Mount Sharp,Planet,NA
2015-02-10,An Extremely Long Filament on the Sun,Sun,Star,NA
2015-02-11,M100: A Grand Design Spiral Galaxy,M100,Galaxy,NA
2015-02-11,M100: A Grand Design Spiral Galaxy,Milky Way Galaxy,Galaxy,NA
2015-02-11,M100: A Grand Design Spiral Galaxy,Virgo Cluster,Cluster,NA
2015-02-11,M100: A Grand Design Spiral Galaxy,Berenice's Hair,Constellation,NA
2015-02-12,Exploring the Antennae,Antennae,Galaxy,NA
2015-02-12,Exploring the Antennae,Corvus,Constellation,NA
2015-02-12,Exploring the Antennae,NGC 4038,Galaxy,NA
2015-02-12,Exploring the Antennae,NGC 4039,Galaxy,NA
2015-02-13,Aurora on Ice,Moon,Moon,NA
2015-02-13,Aurora on Ice,Jupiter,Planet,NA
2015-02-13,Aurora on Ice,Sun,Star,NA
2015-02-14,Solar System Portrait,Sun,Star,NA
2015-02-14,Solar System Portrait,Neptune,Planet,NA
2015-02-14,Solar System Portrait,Venus,Planet,NA
2015-02-14,Solar System Portrait,Earth,Planet,NA
2015-02-14,Solar System Portrait,Jupiter,Planet,NA
2015-02-14,Solar System Portrait,Saturn,Planet,NA
2015-02-14,Solar System Portrait,Uranus,Planet,NA
2015-02-14,Solar System Portrait,Mars,Planet,NA
2015-02-14,Solar System Portrait,Mercury,Planet,NA
2015-02-14,Solar System Portrait,Pluto,Planet,NA
2015-02-15,Two Hours Before Neptune,Neptune,Planet,NA
2015-02-15,Two Hours Before Neptune,Pluto,Planet,NA
2015-02-15,Two Hours Before Neptune,Uranus,Planet,NA
2015-02-16,M106: A Spiral Galaxy with a Strange Center,M106,Galaxy,NA
2015-02-16,M106: A Spiral Galaxy with a Strange Center,Spiral Galaxy,Galaxy,NA
2015-02-16,M106: A Spiral Galaxy with a Strange Center,Black Hole,Black Hole,NA
2015-02-16,M106: A Spiral Galaxy with a Strange Center,NGC 4258,Galaxy,NA
2015-02-16,M106: A Spiral Galaxy with a Strange Center,Canes Venatici,Constellation,NA
2015-02-17,Fibrils Flower on the Sun,Sun,Star,NA
2015-02-18,Dark Craters and Bright Spots Revealed on Asteroid Ceres,Ceres,Asteroid,NA
2015-02-18,Dark Craters and Bright Spots Revealed on Asteroid Ceres,Moon,Moon,NA
2015-02-18,Dark Craters and Bright Spots Revealed on Asteroid Ceres,Mercury,Planet,NA
2015-02-19,Palomar 12,Palomar 12,Cluster,NA
2015-02-19,Palomar 12,Milky Way Galaxy,Galaxy,NA
2015-02-19,Palomar 12,Sagittarius Dwarf Elliptical Galaxy,Galaxy,NA
2015-02-19,Palomar 12,Capricornus,Constellation,NA
2015-02-20,An Evening Sky Conjunction,Moon,Moon,NA
2015-02-20,An Evening Sky Conjunction,Venus,Planet,NA
2015-02-20,An Evening Sky Conjunction,Sun,Star,NA
2015-02-20,An Evening Sky Conjunction,Mars,Planet,NA
2015-02-21,45 Days in the Sun,Sun,Star,NA
2015-02-22,The Dark River to Antares,Antares,Star,NA
2015-02-22,The Dark River to Antares,Dark River,Nebula,NA
2015-02-22,The Dark River to Antares,Rho Ophiuchi,Star,NA
2015-02-22,The Dark River to Antares,M4,Cluster,NA
2015-02-22,The Dark River to Antares,Scorpius,Constellation,NA
2015-02-23,The Milky Way Over the Arizona Toadstools,Milky Way Galaxy,Galaxy,NA
2015-02-23,The Milky Way Over the Arizona Toadstools,Andromeda,Galaxy,NA
2015-02-23,The Milky Way Over the Arizona Toadstools,NGC 7331,Galaxy,NA
2015-02-24,Unusual Plumes Above Mars,Mars,Planet,NA
2015-02-25,The Rosette Nebula in Hydrogen and Oxygen,Rosette Nebula,Nebula,NA
2015-02-25,The Rosette Nebula in Hydrogen and Oxygen,Monoceros,Constellation,NA
2015-02-25,The Rosette Nebula in Hydrogen and Oxygen,NGC 2244,Cluster,NA
2015-02-25,The Rosette Nebula in Hydrogen and Oxygen,NGC 2237,Nebula,NA
2015-02-26,Love and War by Moonlight,Venus,Planet,NA
2015-02-26,Love and War by Moonlight,Mars,Planet,NA
2015-02-26,Love and War by Moonlight,Moon,Moon,NA
2015-02-26,Love and War by Moonlight,Sun,Star,NA
2015-02-27,Long Lovejoy and Little Dumbbell,Comet Lovejoy,Comet,NA
2015-02-27,Long Lovejoy and Little Dumbbell,Phi Persei,Star,NA
2015-02-27,Long Lovejoy and Little Dumbbell,Little Dumbbell Nebula,Nebula,NA
2015-02-27,Long Lovejoy and Little Dumbbell,Dumbbell Nebula,Nebula,NA
2015-02-27,Long Lovejoy and Little Dumbbell,Cassiopeia,Constellation,NA
2015-02-28,Moon-Venus-Mars Skyline,Moon,Moon,NA
2015-02-28,Moon-Venus-Mars Skyline,Venus,Planet,NA
2015-02-28,Moon-Venus-Mars Skyline,Mars,Planet,NA
2015-03-01,Inside the Coma Cluster of Galaxies,Coma Cluster of Galaxies,Cluster,NA
2015-03-01,Inside the Coma Cluster of Galaxies,Milky Way Galaxy,Galaxy,NA
2015-03-01,Inside the Coma Cluster of Galaxies,galaxy,Galaxy,NA
2015-03-02,"Lenticular Cloud, Moon, Mars, Venus",Moon,Moon,NA
2015-03-02,"Lenticular Cloud, Moon, Mars, Venus",Mars,Planet,NA
2015-03-02,"Lenticular Cloud, Moon, Mars, Venus",Venus,Planet,NA
2015-03-03,A Dust Devil on Mars,Mars,Planet,NA
2015-03-03,A Dust Devil on Mars,Sun,Star,NA
2015-03-04,Pillars and Jets in the Pelican Nebula,Pelican Nebula,Nebula,NA
2015-03-04,Pillars and Jets in the Pelican Nebula,Deneb,Star,NA
2015-03-05,Enhanced Color Caloris,Mercury,Planet,NA
2015-03-05,Enhanced Color Caloris,Asteroid,Asteroid,NA
2015-03-06,Cometary Globule CG4,CG4,Comet,NA
2015-03-06,Cometary Globule CG4,Gum Nebula,Nebula,NA
2015-03-06,Cometary Globule CG4,Vela Supernova remnant,Nebula,NA
2015-03-06,Cometary Globule CG4,Puppis,Constellation,NA
2015-03-07,NGC 602 in the Flying Lizard Nebula,NGC 602,Cluster,NA
2015-03-07,NGC 602 in the Flying Lizard Nebula,Flying Lizard Nebula,Nebula,NA
2015-03-07,NGC 602 in the Flying Lizard Nebula,Small Magellanic Cloud,Galaxy,NA
2015-03-08,Stars at the Galactic Center,Milky Way Galaxy,Galaxy,NA
2015-03-08,Stars at the Galactic Center,Sagittarius,Constellation,NA
2015-03-08,Stars at the Galactic Center,stars,Star,NA
2015-03-09,Galaxy and Cluster Create Four Images of Distant Supernova,Supernova Refsdal,Star,NA
2015-03-09,Galaxy and Cluster Create Four Images of Distant Supernova,Galaxy,Galaxy,NA
2015-03-09,Galaxy and Cluster Create Four Images of Distant Supernova,Cluster,Cluster,NA
2015-03-10,Aurora over Icelandic Glacier,Sun,Star,NA
2015-03-11,Volcano of Fire Erupts Under the Stars,Volcán de Fuego,Star,NA
2015-03-11,Volcano of Fire Erupts Under the Stars,stars,Star,NA
2015-03-12,Along the Cygnus Wall,Cygnus Wall,Nebula,NA
2015-03-12,Along the Cygnus Wall,North America Nebula,Nebula,NA
2015-03-12,Along the Cygnus Wall,NGC 7000,Nebula,NA
2015-03-12,Along the Cygnus Wall,stars,Star,NA
2015-03-13,The Great Wall by Moonlight,Moon,Moon,NA
2015-03-13,The Great Wall by Moonlight,Sun,Star,NA
2015-03-14,Return at Sunrise,Sun,Star,NA
2015-03-14,Return at Sunrise,Earth,Planet,NA
2015-03-15,A Total Eclipse at the End of the World,Sun,Star,NA
2015-03-15,A Total Eclipse at the End of the World,Moon,Moon,NA
2015-03-16,The Clouds of Orion the Hunter,Orion Nebula,Nebula,NA
2015-03-16,The Clouds of Orion the Hunter,Horsehead Nebula,Nebula,NA
2015-03-16,The Clouds of Orion the Hunter,Betelgeuse,Star,NA
2015-03-16,The Clouds of Orion the Hunter,Rigel,Star,NA
2015-03-16,The Clouds of Orion the Hunter,Witch Head Nebula,Nebula,NA
2015-03-16,The Clouds of Orion the Hunter,Lambda Orionis nebula,Nebula,NA
2015-03-16,The Clouds of Orion the Hunter,Barnard's Loop,Nebula,NA
2015-03-16,The Clouds of Orion the Hunter,Orion,Constellation,NA
2015-03-17,The Big Dipper Enhanced,Big Dipper,Asteroid,NA
2015-03-17,The Big Dipper Enhanced,Great Bear,Constellation,NA
2015-03-18,Earth During a Total Eclipse of the Sun,Sun,Star,NA
2015-03-18,Earth During a Total Eclipse of the Sun,Moon,Moon,NA
2015-03-19,Aurora in the Backyard,Sun,Star,NA
2015-03-20,"Sunshine, Earthshine",Moon,Moon,NA
2015-03-20,"Sunshine, Earthshine",Sun,Star,NA
2015-03-21,Northern Equinox Eclipse,Moon,Moon,NA
2015-03-21,Northern Equinox Eclipse,Sun,Star,NA
2015-03-22,A Double Eclipse of the Sun,Sun,Star,NA
2015-03-22,A Double Eclipse of the Sun,Moon,Moon,NA
2015-03-23,Atlas V Launches MMS,Sun,Star,NA
2015-03-23,Atlas V Launches MMS,Earth,Planet,NA
2015-03-24,Powers of Ten,Virgo Cluster of Galaxies,Cluster,NA
2015-03-24,Powers of Ten,Proton,Star,NA
2015-03-25,Naked Eye Nova Sagittarii 2015 No. 2,Nova Sagittarii 2015 No. 2,Star,NA
2015-03-25,Naked Eye Nova Sagittarii 2015 No. 2,Sagittarius,Constellation,NA
2015-03-26,Orion Spring,Betelgeuse,Star,NA
2015-03-26,Orion Spring,Alpha Tauri,Star,NA
2015-03-26,Orion Spring,Aldebaran,Star,NA
2015-03-26,Orion Spring,Rigel,Star,NA
2015-03-26,Orion Spring,Orion Nebula,Nebula,NA
2015-03-26,Orion Spring,Taurus,Constellation,NA
2015-03-26,Orion Spring,Orion,Constellation,NA
2015-03-27,NGC 2403 in Camelopardalis,NGC 2403,Galaxy,NA
2015-03-27,NGC 2403 in Camelopardalis,Camelopardalis,Constellation,NA
2015-03-27,NGC 2403 in Camelopardalis,M33,Galaxy,NA
2015-03-27,NGC 2403 in Camelopardalis,Milky Way,Galaxy,NA
2015-03-28,Diamond Rings and Baily's Beads,Sun,Star,NA
2015-03-28,Diamond Rings and Baily's Beads,Moon,Moon,NA
2015-03-29,Shadow of a Martian Robot,Mars,Planet,NA
2015-03-29,Shadow of a Martian Robot,Sun,Star,NA
2015-03-30,A Flag Shaped Aurora over Sweden,Sun,Star,NA
2015-03-31,Corona from Svalbard,Sun,Star,NA
2015-03-31,Corona from Svalbard,Moon,Moon,NA
2015-03-31,Corona from Svalbard,Earth,Planet,NA
2015-04-01,Suiting Up for the Moon,Moon,Moon,NA
2015-04-02,The Owl and the Galaxy,Galaxy,Galaxy,NA
2015-04-02,The Owl and the Galaxy,Big Dipper,Constellation,NA
2015-04-02,The Owl and the Galaxy,Milky Way,Galaxy,NA
2015-04-03,Sun and Moon Halo,Sun,Star,NA
2015-04-03,Sun and Moon Halo,Moon,Moon,NA
2015-04-03,Sun and Moon Halo,Jupiter,Planet,NA
2015-04-04,Voorwerpjes in Space,Milky Way Galaxy,Galaxy,NA
2015-04-04,Voorwerpjes in Space,Hanny's Voorwerp,Nebula,NA
2015-04-04,Voorwerpjes in Space,IC 2497,Galaxy,NA
2015-04-04,Voorwerpjes in Space,Andromeda Galaxy,Galaxy,NA
2015-04-05,"Saturn, Tethys, Rings, and Shadows",Saturn,Planet,NA
2015-04-05,"Saturn, Tethys, Rings, and Shadows",Tethys,Moon,NA
2015-04-05,"Saturn, Tethys, Rings, and Shadows",Rings,Asteroid,NA
2015-04-05,"Saturn, Tethys, Rings, and Shadows",Telesto,Moon,NA
2015-04-05,"Saturn, Tethys, Rings, and Shadows",Calypso,Moon,NA
2015-04-06,NGC 3293: A Bright Young Star Cluster,NGC 3293,Cluster,NA
2015-04-06,NGC 3293: A Bright Young Star Cluster,Carina Nebula,Nebula,NA
2015-04-06,NGC 3293: A Bright Young Star Cluster,Sun,Star,NA
2015-04-06,NGC 3293: A Bright Young Star Cluster,Carina,Constellation,NA
2015-04-07,In the Heart of the Virgo Cluster,Virgo Cluster,Cluster,NA
2015-04-07,In the Heart of the Virgo Cluster,Milky Way Galaxy,Galaxy,NA
2015-04-07,In the Heart of the Virgo Cluster,Markarian's Eyes,Galaxy,NA
2015-04-07,In the Heart of the Virgo Cluster,M86,Galaxy,NA
2015-04-07,In the Heart of the Virgo Cluster,M84,Galaxy,NA
2015-04-07,In the Heart of the Virgo Cluster,NGC 4388,Galaxy,NA
2015-04-07,In the Heart of the Virgo Cluster,Local Group of Galaxies,Galaxy,NA
2015-04-08,Full Moon in Earth's Shadow,Moon,Moon,NA
2015-04-08,Full Moon in Earth's Shadow,Earth,Planet,NA
2015-04-09,A Golden Gate Eclipse,Moon,Moon,NA
2015-04-10,NGC 2903: A Missing Jewel in Leo,NGC 2903,Galaxy,NA
2015-04-10,NGC 2903: A Missing Jewel in Leo,Leo,Constellation,NA
2015-04-10,NGC 2903: A Missing Jewel in Leo,Milky Way,Galaxy,NA
2015-04-11,Venus in the West,Venus,Planet,NA
2015-04-11,Venus in the West,Pleiades,Cluster,NA
2015-04-11,Venus in the West,Aldebaran,Star,NA
2015-04-11,Venus in the West,Taurus,Constellation,NA
2015-04-11,Venus in the West,Hyades,Cluster,NA
2015-04-12,Sentinels of the Arctic,Sun,Star,NA
2015-04-12,Sentinels of the Arctic,Venus,Planet,NA
2015-04-13,Milky Way over Erupting Volcano,Milky Way Galaxy,Galaxy,NA
2015-04-13,Milky Way over Erupting Volcano,stars,Star,NA
2015-04-14,Through the Shadow of the Moon,Sun,Star,NA
2015-04-14,Through the Shadow of the Moon,Moon,Moon,NA
2015-04-15,Mystic Mountain Dust Pillars,Carina Nebula,Nebula,NA
2015-04-15,Mystic Mountain Dust Pillars,Mystic Mountain,Nebula,NA
2015-04-15,Mystic Mountain Dust Pillars,stars,Star,NA
2015-04-16,One-Armed Spiral Galaxy NGC 4725,NGC 4725,Galaxy,NA
2015-04-16,One-Armed Spiral Galaxy NGC 4725,Milky Way,Galaxy,NA
2015-04-16,One-Armed Spiral Galaxy NGC 4725,Coma Berenices,Constellation,NA
2015-04-17,M46 Plus Two,Milky Way,Galaxy,NA
2015-04-17,M46 Plus Two,M46,Cluster,NA
2015-04-17,M46 Plus Two,NGC 2438,Nebula,NA
2015-04-17,M46 Plus Two,PK231+4.1,Nebula,NA
2015-04-18,The Great Crater Hokusai,Mercury,Planet,NA
2015-04-18,The Great Crater Hokusai,Sun,Star,NA
2015-04-19,Ring Galaxy AM 0644-741 from Hubble,Ring Galaxy AM 0644-741,Galaxy,NA
2015-04-20,Total Solar Eclipse over Svalbard,Sun,Star,NA
2015-04-20,Total Solar Eclipse over Svalbard,Moon,Moon,NA
2015-04-21,Vesta Trek: A Digital Model of Asteroid Vesta,Vesta,Asteroid,NA
2015-04-21,Vesta Trek: A Digital Model of Asteroid Vesta,Ceres,Asteroid,NA
2015-04-21,Vesta Trek: A Digital Model of Asteroid Vesta,Mars,Planet,NA
2015-04-21,Vesta Trek: A Digital Model of Asteroid Vesta,Jupiter,Planet,NA
2015-04-22,Colorful Star Clouds in Cygnus,Sadr,Star,NA
2015-04-22,Colorful Star Clouds in Cygnus,Gamma Cygni nebula,Nebula,NA
2015-04-22,Colorful Star Clouds in Cygnus,Barnard 344,Nebula,NA
2015-04-22,Colorful Star Clouds in Cygnus,Cygnus,Constellation,NA
2015-04-23,Meteor in the Milky Way,Milky Way,Galaxy,NA
2015-04-23,Meteor in the Milky Way,Comet Thatcher,Comet,NA
2015-04-23,Meteor in the Milky Way,Antares,Star,NA
2015-04-23,Meteor in the Milky Way,Saturn,Planet,NA
2015-04-23,Meteor in the Milky Way,Lyra,Constellation,NA
2015-04-24,Blue Tears and the Milky Way,Milky Way,Galaxy,NA
2015-04-24,Blue Tears and the Milky Way,stars,Star,NA
2015-04-25,Cluster and Starforming Region Westerlund 2,Westerlund 2,Cluster,NA
2015-04-25,Cluster and Starforming Region Westerlund 2,Carina,Constellation,NA
2015-04-25,Cluster and Starforming Region Westerlund 2,stars,Star,NA
2015-04-26,Planetary Nebula Mz3: The Ant Nebula,Ant Nebula,Nebula,NA
2015-04-26,Planetary Nebula Mz3: The Ant Nebula,Sun,Star,NA
2015-04-27,Space Station over Lunar Terminator,Moon,Moon,NA
2015-04-28,Massive Nearby Spiral Galaxy NGC 2841,NGC 2841,Galaxy,NA
2015-04-28,Massive Nearby Spiral Galaxy NGC 2841,Milky Way,Galaxy,NA
2015-04-28,Massive Nearby Spiral Galaxy NGC 2841,Ursa Major,Constellation,NA
2015-04-29,Comet Churyumov Gerasimenko in Crescent,Comet Churyumov Gerasimenko,Comet,NA
2015-04-29,Comet Churyumov Gerasimenko in Crescent,Sun,Star,NA
2015-04-30,Across the Sun,Sun,Star,NA
2015-04-30,Across the Sun,Moon,Moon,NA
2015-05-01,MESSENGER's Last Day on Mercury,Mercury,Planet,NA
2015-05-01,MESSENGER's Last Day on Mercury,Sun,Star,NA
2015-05-02,M51: The Whirlpool Galaxy,Whirlpool Galaxy,Galaxy,NA
2015-05-02,M51: The Whirlpool Galaxy,NGC 5194,Galaxy,NA
2015-05-02,M51: The Whirlpool Galaxy,NGC 5195,Galaxy,NA
2015-05-02,M51: The Whirlpool Galaxy,Canes Venatici,Constellation,NA
2015-05-03,Moonrise Through Mauna Kea's Shadow,Moon,Moon,NA
2015-05-03,Moonrise Through Mauna Kea's Shadow,Sun,Star,NA
2015-05-04,An Unexpected Aurora over Norway,Sun,Star,NA
2015-05-04,An Unexpected Aurora over Norway,Moon,Moon,NA
2015-05-05,Gravitational Anomalies of Mercury,Mercury,Planet,NA
2015-05-05,Gravitational Anomalies of Mercury,Caloris Basin,Planet,NA
2015-05-06,Summer Triangles over Japan,Vega,Star,NA
2015-05-06,Summer Triangles over Japan,Deneb,Star,NA
2015-05-06,Summer Triangles over Japan,Altair,Star,NA
2015-05-07,At the Limit of Diffraction,Alpha Centauri,Star,NA
2015-05-08,When Vega is North,Vega,Star,NA
2015-05-08,When Vega is North,Polaris,Star,NA
2015-05-09,Trio Leo,NGC 3628,Galaxy,NA
2015-05-09,Trio Leo,M66,Galaxy,NA
2015-05-09,Trio Leo,M65,Galaxy,NA
2015-05-10,MyCn18: An Hourglass Planetary Nebula,Hourglass Nebula,Nebula,NA
2015-05-10,MyCn18: An Hourglass Planetary Nebula,white dwarf,Star,NA
2015-05-11,The Sky from Mauna Kea,Moon,Moon,NA
2015-05-11,The Sky from Mauna Kea,Milky Way Galaxy,Galaxy,NA
2015-05-11,The Sky from Mauna Kea,Sun,Star,NA
2015-05-12,"Two Worlds, One Sun",Sun,Star,NA
2015-05-12,"Two Worlds, One Sun",Mars,Planet,NA
2015-05-13,The Magnificent Horsehead Nebula,Horsehead Nebula,Nebula,NA
2015-05-13,The Magnificent Horsehead Nebula,Orion cloud complex,Nebula,NA
2015-05-13,The Magnificent Horsehead Nebula,IC 434,Nebula,NA
2015-05-13,The Magnificent Horsehead Nebula,NGC 2023,Nebula,NA
2015-05-13,The Magnificent Horsehead Nebula,star,Star,NA
2015-05-14,"Dwarf Planet, Bright Spot",Ceres,Asteroid,NA
2015-05-14,"Dwarf Planet, Bright Spot",Pluto,Asteroid,NA
2015-05-15,"Jupiter, Ganymede, Great Red Spot",Jupiter,Planet,NA
2015-05-15,"Jupiter, Ganymede, Great Red Spot",Ganymede,Moon,NA
2015-05-15,"Jupiter, Ganymede, Great Red Spot",Great Red Spot,Planet,NA
2015-05-15,"Jupiter, Ganymede, Great Red Spot",Saturn,Planet,NA
2015-05-15,"Jupiter, Ganymede, Great Red Spot",Titan,Moon,NA
2015-05-15,"Jupiter, Ganymede, Great Red Spot",Sun,Star,NA
2015-05-16,Ares 3 Landing Site: The Martian Revisited,Mars,Planet,NA
2015-05-17,NGC 2440: Pearl of a New White Dwarf,White Dwarf,Star,NA
2015-05-17,NGC 2440: Pearl of a New White Dwarf,NGC 2440,Nebula,NA
2015-05-17,NGC 2440: Pearl of a New White Dwarf,Sun,Star,NA
2015-05-17,NGC 2440: Pearl of a New White Dwarf,Puppis,Constellation,NA
2015-05-18,Auroras and Star Trails over Iceland,Star,Star,NA
2015-05-19,Globular Star Cluster 47 Tuc,47 Tuc,Cluster,NA
2015-05-19,Globular Star Cluster 47 Tuc,Milky Way Galaxy,Galaxy,NA
2015-05-19,Globular Star Cluster 47 Tuc,Omega Centauri,Cluster,NA
2015-05-19,Globular Star Cluster 47 Tuc,Small Magellanic Cloud,Galaxy,NA
2015-05-19,Globular Star Cluster 47 Tuc,Toucan,Constellation,NA
2015-05-20,A Cliff Looming on Comet 67P,Comet Churyumov-Gerasimenko,Comet,NA
2015-05-20,A Cliff Looming on Comet 67P,Sun,Star,NA
2015-05-21,NGC 6240: Merging Galaxies,NGC 6240,Galaxy,NA
2015-05-21,NGC 6240: Merging Galaxies,Black Hole,Black Hole,NA
2015-05-21,NGC 6240: Merging Galaxies,Ophiuchus,Constellation,NA
2015-05-22,A Dark and Dusty Sky,Taurus,Constellation,NA
2015-05-22,A Dark and Dusty Sky,Orion Arm,Galaxy,NA
2015-05-22,A Dark and Dusty Sky,Milky Way Galaxy,Galaxy,NA
2015-05-22,A Dark and Dusty Sky,Baby Eagle Nebula,Nebula,NA
2015-05-22,A Dark and Dusty Sky,RY Tau,Star,NA
2015-05-22,A Dark and Dusty Sky,Taurus molecular cloud,Nebula,NA
2015-05-23,NGC 7822 in Cepheus,NGC 7822,Nebula,NA
2015-05-23,NGC 7822 in Cepheus,Cepheus,Constellation,NA
2015-05-23,NGC 7822 in Cepheus,Star,Star,NA
2015-05-24,Space Shuttle Rising,Sun,Star,NA
2015-05-25,The Galaxy Tree,Milky Way Galaxy,Galaxy,NA
2015-05-26,Starburst Galaxy M94,M94,Galaxy,NA
2015-05-26,Starburst Galaxy M94,Canes Venatici,Constellation,NA
2015-05-27,Approaching Pluto,Pluto,Planet,NA
2015-05-27,Approaching Pluto,Charon,Moon,NA
2015-05-27,Approaching Pluto,Neptune,Planet,NA
2015-05-28,Nearby Spiral Galaxy NGC 4945,NGC 4945,Galaxy,NA
2015-05-28,Nearby Spiral Galaxy NGC 4945,Milky Way Galaxy,Galaxy,NA
2015-05-28,Nearby Spiral Galaxy NGC 4945,Andromeda,Galaxy,NA
2015-05-28,Nearby Spiral Galaxy NGC 4945,Centaurus,Constellation,NA
2015-05-28,Nearby Spiral Galaxy NGC 4945,Seyfert galaxy,Galaxy,NA
2015-05-28,Nearby Spiral Galaxy NGC 4945,black hole,Black Hole,NA
2015-05-29,Saturn at Opposition,Saturn,Planet,NA
2015-05-29,Saturn at Opposition,Sun,Star,NA
2015-05-29,Saturn at Opposition,Antares,Star,NA
2015-05-29,Saturn at Opposition,Scorpius,Constellation,NA
2015-05-30,Messier Craters in Stereo,Moon,Moon,NA
2015-05-31,Supernova 1994D and the Unexpected Universe,Supernova 1994D,Star,NA
2015-05-31,Supernova 1994D and the Unexpected Universe,NGC 4526,Galaxy,NA
2015-06-02,Polaris and Comet Lovejoy,Polaris,Star,NA
2015-06-02,Polaris and Comet Lovejoy,Comet Lovejoy,Comet,NA
2015-06-03,Flyby Image of Saturn's Sponge Moon Hyperion,Saturn,Planet,NA
2015-06-03,Flyby Image of Saturn's Sponge Moon Hyperion,Hyperion,Moon,NA
2015-06-03,Flyby Image of Saturn's Sponge Moon Hyperion,Dione,Moon,NA
2015-06-04,NGC 2419: Intergalactic Wanderer,NGC 2419,Cluster,NA
2015-06-04,NGC 2419: Intergalactic Wanderer,Large Magellanic Cloud,Galaxy,NA
2015-06-04,NGC 2419: Intergalactic Wanderer,Milky Way,Galaxy,NA
2015-06-04,NGC 2419: Intergalactic Wanderer,Omega Centauri,Cluster,NA
2015-06-05,Green Flash at Moonrise,Sun,Star,NA
2015-06-05,Green Flash at Moonrise,Moon,Moon,NA
2015-06-06,Into the Void,Sun,Star,NA
2015-06-06,Into the Void,Moon,Moon,NA
2015-06-07,NGC 3132: The Eight Burst Nebula,Eight-Burst Nebula,Nebula,NA
2015-06-07,NGC 3132: The Eight Burst Nebula,Southern Ring Nebula,Nebula,NA
2015-06-07,NGC 3132: The Eight Burst Nebula,star,Star,NA
2015-06-08,The Milky Way over the Temple of Poseidon,Milky Way,Galaxy,NA
2015-06-08,The Milky Way over the Temple of Poseidon,Lagoon Nebula,Nebula,NA
2015-06-08,The Milky Way over the Temple of Poseidon,Wild Duck,Cluster,NA
2015-06-09,Galaxy NGC 7714 After Collision,NGC 7714,Galaxy,NA
2015-06-09,Galaxy NGC 7714 After Collision,NGC 7715,Galaxy,NA
2015-06-09,Galaxy NGC 7714 After Collision,Sun,Star,NA
2015-06-09,Galaxy NGC 7714 After Collision,Pisces,Constellation,NA
2015-06-10,Fly Over Dwarf Planet Ceres,Ceres,Asteroid,NA
2015-06-11,"The Light, the Dark, and the Dusty",Milky Way Galaxy,Galaxy,NA
2015-06-11,"The Light, the Dark, and the Dusty",Cave Nebula,Nebula,NA
2015-06-11,"The Light, the Dark, and the Dusty",Lynds Dark Nebula 1210,Nebula,NA
2015-06-11,"The Light, the Dark, and the Dusty",Herbig-Haro 168,Nebula,NA
2015-06-11,"The Light, the Dark, and the Dusty",Cepheus,Constellation,NA
2015-06-12,The Medusa Nebula,Medusa Nebula,Nebula,NA
2015-06-12,The Medusa Nebula,Gemini,Constellation,NA
2015-06-12,The Medusa Nebula,Sun,Star,NA
2015-06-12,The Medusa Nebula,white dwarf stars,Star,NA
2015-06-12,The Medusa Nebula,red giants,Star,NA
2015-06-13,1000 Sols,Mars,Planet,NA
2015-06-13,1000 Sols,Sun,Star,NA
2015-06-13,1000 Sols,Gale Crater,Galaxy,NA
2015-06-14,M101: The Pinwheel Galaxy,Pinwheel Galaxy,Galaxy,NA
2015-06-14,M101: The Pinwheel Galaxy,HII regions,Nebula,NA
2015-06-15,A Colorful Lunar Corona,Moon,Moon,NA
2015-06-15,A Colorful Lunar Corona,Sun,Star,NA
2015-06-17,M45: The Pleiades Star Cluster,Pleiades Star Cluster,Cluster,NA
2015-06-17,M45: The Pleiades Star Cluster,Bull,Constellation,NA
2015-06-17,M45: The Pleiades Star Cluster,Moon,Moon,NA
2015-06-18,M64: The Black Eye Galaxy,Black Eye Galaxy,Galaxy,NA
2015-06-18,M64: The Black Eye Galaxy,M64,Galaxy,NA
